timestamp,rss_mb,vsz_mb,cpu_pct
23:17:24,311.55,10114.66,56
23:17:25,311.4,10114.66,56
23:17:26,311.4,10114.66,56.2
23:17:27,311.4,10114.66,56.3
23:17:28,311.9,10115.16,56.3
23:17:29,312.65,10115.91,56.5
23:17:30,313.15,10116.41,56.5
23:17:31,313.68,10117.16,56.6
23:17:32,313.94,10117.41,56.7
23:17:33,313.95,10117.41,56.7
23:17:34,313.95,10117.41,56.7
23:17:35,320.98,10118.66,56.9
23:17:36,321.77,10119.41,57
23:17:37,322.52,10120.16,57.1
23:17:38,322.77,10120.41,57.1
23:17:39,322.78,10120.41,57.3
23:17:40,323.79,10121.41,57.4
23:17:41,324.29,10121.91,57.5
23:17:42,324.54,10122.16,57.5
23:17:43,325.18,10122.91,57.5
23:17:44,325.54,10123.16,57.6
23:17:45,326.04,10123.66,57.6
23:17:46,327.04,10124.66,57.7
23:17:47,327.54,10125.16,57.7
23:17:48,327.56,10125.16,57.8
23:17:49,328.06,10125.66,57.8
23:17:50,328.07,10125.66,57.8
23:17:51,329.07,10126.66,57.9
23:17:52,329.57,10127.16,58
23:17:53,329.57,10127.16,57.9
23:17:54,329.59,10127.16,57.9
23:17:55,329.59,10127.16,57.9
23:17:56,330.09,10127.66,58
23:17:57,330.36,10128.16,58
23:17:58,331.36,10129.16,58.1
23:17:59,331.86,10129.66,58.2
23:18:00,332.86,10130.66,58.3
23:18:01,333.4,10131.16,58.3
23:18:02,333.65,10131.41,58.3
23:18:03,334.15,10131.91,58.3
23:18:04,341.61,10132.41,58.4
23:18:05,342.36,10133.16,58.3
23:18:06,342.86,10133.66,58.4
23:18:07,343.61,10134.41,58.4
23:18:08,224.36,10002.91,58.5
23:18:09,229.16,10003.16,58.6
23:18:10,242.07,10019.16,58.6
23:18:11,244.13,10020.16,58.6
23:18:12,245.11,10020.16,58.5
23:18:13,249.14,10053.16,58.6
23:18:14,259.34,10053.66,58.6
23:18:15,265.62,10053.91,58.6
23:18:16,265.61,10053.91,58.6
23:18:17,265.61,10053.91,58.7
23:18:18,265.61,10053.91,58.7
23:18:19,265.62,10053.91,58.7
23:18:20,265.62,10053.91,58.4
23:18:21,265.62,10053.91,58.2
23:18:22,265.62,10053.91,58
23:18:23,265.62,10053.91,57.7
23:18:24,265.64,10054.16,57.6
23:18:25,265.64,10054.16,57.4
23:18:26,265.64,10054.16,57.1
23:18:27,265.64,10054.16,56.9
23:18:28,265.64,10054.16,56.7
23:18:29,265.64,10054.16,56.5
23:18:30,265.36,10054.16,56.2
23:18:31,265.32,10053.91,56.2
23:18:32,265.32,10053.91,56.3
23:18:33,265.32,10053.91,56.3
23:18:34,265.32,10053.91,56.4
23:18:35,265.32,10053.91,56.4
23:18:36,266.04,10053.91,56.5
23:18:37,266.34,10054.16,56.6
23:18:38,266.13,10053.91,56.6
23:18:39,266.13,10053.91,56.7
23:18:40,266.13,10053.91,56.7
23:18:41,266.13,10053.91,56.8
23:18:42,266.13,10053.91,56.8
23:18:43,266.13,10053.91,56.7
23:18:44,266.13,10053.91,56.5
23:18:45,266.13,10053.91,56.3
23:18:46,266.13,10053.91,56.1
23:18:47,266.13,10053.91,55.9
23:18:48,266.13,10053.91,55.7
23:18:49,266.13,10053.91,55.5
23:18:50,266.13,10053.91,55.3
23:18:51,266.13,10053.91,55.3
23:18:52,267.09,10114.91,55.3
23:18:53,267.09,10114.91,55.2
23:18:54,267.09,10114.91,55
23:18:55,268.91,10116.43,54.9
23:18:56,276.83,10116.43,54.9
23:18:57,300.94,10116.94,55.1
23:18:58,304.89,10115.67,55.1
23:18:59,305.39,10116.18,55.1
23:19:00,333.71,10119.21,55.1
23:19:01,339.85,10117.43,55.2
23:19:02,341.39,10118.95,55.2
23:19:03,341.03,10117.93,55.3
23:19:04,346.59,10117.93,55.4
23:19:05,348.62,10119.96,55.4
23:19:06,345.57,10116.92,55.5
23:19:07,345.57,10116.92,55.5
23:19:08,347.1,10118.44,55.5
23:19:09,345.07,10116.41,55.5
23:19:10,347.61,10118.95,55.5
23:19:11,348.11,10119.46,55.6
23:19:12,347.35,10118.69,55.7
23:19:13,347.36,10118.93,55.7
23:19:14,349.45,10120.96,55.9
23:19:15,349.39,10120.96,56
23:19:16,350.01,10121.47,56.1
23:19:17,349.5,10120.96,56.3
23:19:18,346.27,10117.93,56.4
23:19:19,350.12,10121.73,56.6
23:19:20,349.42,10120.97,56.8
23:19:21,349.67,10121.22,57
23:19:22,352.76,10124.74,57.2
23:19:23,350.11,10121.95,57.4
23:19:24,350.01,10121.95,57.6
23:19:25,350.07,10121.95,57.7
23:19:26,350.28,10121.95,57.9
23:19:27,348.26,10119.92,58.1
23:19:28,349.79,10121.44,58.3
23:19:29,349.82,10121.44,58.5
23:19:30,348.32,10119.92,58.7
23:19:31,351.38,10122.96,58.8
23:19:32,348.33,10119.92,59
23:19:33,349.87,10121.44,59.1
23:19:34,349.31,10120.93,59.3
23:19:35,349.36,10120.93,59.5
23:19:36,350.39,10122.18,59.7
23:19:37,352.72,10124.47,59.9
23:19:38,349.78,10121.42,60.1
23:19:39,350.17,10121.67,60.2
23:19:40,351.31,10122.93,60.4
23:19:41,350.98,10122.68,60.6
23:19:42,354.54,10125.97,60.8
23:19:43,354.73,10126.47,61
23:19:44,354.3,10125.96,61.2
23:19:45,351.52,10123.17,61.4
23:19:46,354.49,10125.96,61.6
23:19:47,350.98,10122.41,61.8
23:19:48,354.76,10126.71,61.9
23:19:49,354.87,10126.21,62.1
23:19:50,353.85,10125.2,62.3
23:19:51,354.12,10125.7,62.4
23:19:52,355.89,10127.47,62.6
23:19:53,355.61,10126.96,62.8
23:19:54,353.92,10125.43,63
23:19:55,355.13,10126.45,63.1
23:19:56,353.09,10124.42,63.2
23:19:57,356.1,10128.19,63.3
23:19:58,355.4,10127.42,63.5
23:19:59,355.65,10127.67,63.6
23:20:00,356.15,10128.17,63.7
23:20:01,358.69,10130.71,63.8
23:20:02,356.91,10128.93,63.9
23:20:03,357.44,10129.18,64
23:20:04,357.84,10129.44,64.1
23:20:05,358.63,10130.45,64.1
23:20:06,356.85,10128.68,64.2
23:20:07,358.88,10130.71,64.3
23:20:08,357.89,10129.69,64.4
23:20:09,357.12,10128.68,64.5
23:20:10,357.13,10128.68,64.6
23:20:11,358.65,10130.2,64.7
23:20:12,359.66,10131.21,64.7
23:20:13,359.16,10130.71,64.7
23:20:14,359.66,10131.21,64.7
23:20:15,360.17,10131.72,64.7
23:20:16,358.66,10130.2,64.7
23:20:17,360.18,10131.72,64.7
23:20:18,360.18,10131.72,64.8
23:20:19,356.56,10127.92,64.8
23:20:20,357.07,10128.68,64.9
23:20:21,359.66,10131.21,65
23:20:22,357.88,10129.44,65
23:20:23,359.66,10131.21,64.9
23:20:24,359.66,10131.21,64.8
23:20:25,357.66,10129.43,64.7
23:20:26,356.4,10128.16,64.6
23:20:27,356.66,10128.42,64.5
23:20:28,357.67,10129.43,64.5
23:20:29,358.11,10129.69,64.4
23:20:30,358.11,10129.69,64.4
